month,year,number
january,2015,18000
february,2015,19000
march,2015,21000
april,2015,20000
may,2015,18000
june,2015,18000
july,2015,22000
august,2015,22000
september,2015,14000
october,2015,18000
november,2015,16000
december,2015,18000
january,2016,18000
february,2016,20000
march,2016,20000
april,2016,17000
may,2016,17000
june,2016,17000
july,2016,23000
august,2016,20000
september,2016,15000
october,2016,17000
november,2016,17000
december,2016,18000
january,2017,18000
february,2017,19000
march,2017,20000
april,2017,22000
may,2017,20000
june,2017,21000
july,2017,25000
august,2017,23000
september,2017,16000
october,2017,17000
november,2017,19000
december,2017,21000
